id_programacion;id_centro_vacunacion;fecha_programacion;rango_inicial_edad;rango_final_edad
11004282;0;15/10/2021;0;0
11004374;0;20/11/2021;;
34;1;23/04/2021;80;120
2012;1;21/05/2021;65;69
36;3;23/04/2021;80;120
255;3;30/04/2021;70;79
273;3;30/04/2021;70;79
1116;3;11/05/2021;18;100
1118;3;11/05/2021;18;100
1398;3;14/05/2021;70;79
11004231;3;30/10/2021;15;17
11004242;3;30/10/2021;15;17
11003904;3;12/10/2021;18;20
11003905;3;16/10/2021;18;20
11004141;3;4/11/2021;12;14
11004146;3;4/11/2021;12;14
11004158;3;4/11/2021;12;14
11004225;3;30/10/2021;15;17
11003853;3;12/10/2021;18;20
11003854;3;16/10/2021;18;20
11003868;3;18/10/2021;18;20
11003872;3;12/10/2021;18;20
11003876;3;16/10/2021;18;20
11003903;3;18/10/2021;18;20
11003563;3;27/09/2021;21;22
11003568;3;27/09/2021;21;22
11003711;3;7/10/2021;21;22
11003717;3;7/10/2021;21;22
11003728;3;7/10/2021;21;22
11003852;3;18/10/2021;18;20
11003387;3;25/09/2021;23;24
11003397;3;21/09/2021;23;24
11003401;3;25/09/2021;23;24
11003420;3;21/09/2021;23;24
11003421;3;25/09/2021;23;24
11003560;3;27/09/2021;21;22
11003221;3;18/09/2021;25;26
11003231;3;14/09/2021;25;26
11003235;3;18/09/2021;25;26
11003254;3;14/09/2021;25;26
11003255;3;18/09/2021;25;26
11003386;3;21/09/2021;23;24
11003017;3;11/09/2021;27;31
11003021;3;13/09/2021;27;31
11003048;3;10/09/2021;27;31
11003049;3;11/09/2021;27;31
11003050;3;13/09/2021;27;31
11003220;3;14/09/2021;25;26
11002578;3;6/09/2021;32;33
11002589;3;6/09/2021;32;33
11002997;3;10/09/2021;27;31
11002998;3;11/09/2021;27;31
11002999;3;13/09/2021;27;31
11003013;3;10/09/2021;27;31
11002410;3;31/08/2021;34;35
11002428;3;31/08/2021;34;35
11002490;3;4/09/2021;32;33
11002496;3;4/09/2021;32;33
11002507;3;4/09/2021;32;33
11002572;3;6/09/2021;32;33
11002106;3;26/08/2021;36;37
11002118;3;26/08/2021;36;37
11002170;3;28/08/2021;36;37
11002173;3;28/08/2021;36;37
11002180;3;28/08/2021;36;37
11002404;3;31/08/2021;34;35
11000543;3;21/08/2021;38;39
11000549;3;21/08/2021;38;39
11000627;3;21/08/2021;40;44
11000630;3;21/08/2021;40;44
11000636;3;21/08/2021;40;44
11002100;3;26/08/2021;36;37
10000397;3;23/08/2021;38;39
10000410;3;23/08/2021;38;39
10000481;3;24/08/2021;40;44
10000485;3;24/08/2021;40;44
10000498;3;24/08/2021;40;44
11000540;3;21/08/2021;38;39
10000223;3;16/08/2021;38;39
10000236;3;16/08/2021;38;39
10000306;3;23/08/2021;40;44
10000310;3;23/08/2021;40;44
10000323;3;23/08/2021;40;44
10000393;3;23/08/2021;38;39
10000049;3;6/08/2021;38;39
10000062;3;6/08/2021;38;39
10000132;3;16/08/2021;40;44
10000136;3;16/08/2021;40;44
10000149;3;16/08/2021;40;44
10000219;3;16/08/2021;38;39
4358;3;24/07/2021;40;44
4651;3;2/08/2021;40;44
4704;3;2/08/2021;40;44
4708;3;2/08/2021;40;44
10000045;3;6/08/2021;38;39
4160;3;17/07/2021;45;46
4216;3;19/07/2021;45;46
4224;3;19/07/2021;45;46
4241;3;19/07/2021;45;46
4307;3;24/07/2021;40;44
4354;3;24/07/2021;40;44
3981;3;10/07/2021;47;49
4036;3;12/07/2021;47;49
4042;3;12/07/2021;47;49
4060;3;12/07/2021;47;49
4142;3;17/07/2021;45;46
4146;3;17/07/2021;45;46
3663;3;2/07/2021;54;55
3664;3;2/07/2021;54;55
3665;3;5/07/2021;50;51
3666;3;3/07/2021;52;53
3964;3;10/07/2021;47;49
3968;3;10/07/2021;47;49
3620;3;5/07/2021;50;51
3658;3;2/07/2021;54;55
3659;3;5/07/2021;50;51
3660;3;3/07/2021;52;53
3661;3;5/07/2021;50;51
3662;3;3/07/2021;52;53
3450;3;30/06/2021;54;55
3513;3;3/07/2021;52;53
3519;3;3/07/2021;52;53
3535;3;3/07/2021;52;53
3598;3;5/07/2021;50;51
3604;3;5/07/2021;50;51
3077;3;25/06/2021;58;59
3341;3;28/06/2021;56;57
3347;3;28/06/2021;56;57
3363;3;28/06/2021;56;57
3427;3;30/06/2021;54;55
3434;3;30/06/2021;54;55
2634;3;8/06/2021;60;62
2989;3;19/06/2021;1;120
2992;3;19/06/2021;1;120
3001;3;19/06/2021;1;120
3055;3;25/06/2021;58;59
3061;3;25/06/2021;58;59
1625;3;21/05/2021;65;69
1630;3;21/05/2021;65;69
2300;3;31/05/2021;63;64
2305;3;31/05/2021;63;64
2581;3;8/06/2021;60;62
2587;3;8/06/2021;60;62
1;5;30/04/2021;70;79
18;5;30/04/2021;70;79
49;5;23/04/2021;80;120
56;5;23/04/2021;80;120
59;5;23/04/2021;80;120
1127;5;11/05/2021;18;100
11003922;5;12/10/2021;18;20
11003923;5;16/10/2021;18;20
11004164;5;6/11/2021;12;14
11004248;5;30/10/2021;15;17
11003267;5;18/09/2021;25;26
11003432;5;21/09/2021;23;24
11003433;5;25/09/2021;23;24
11003500;5;27/09/2021;21;22
11003734;5;7/10/2021;21;22
11003921;5;18/10/2021;18;20
11002513;5;4/09/2021;32;33
11002595;5;6/09/2021;32;33
11003066;5;10/09/2021;27;31
11003067;5;11/09/2021;27;31
11003068;5;13/09/2021;27;31
11003266;5;14/09/2021;25;26
11002124;5;26/08/2021;36;37
11002149;5;26/08/2021;36;37
11002224;5;28/08/2021;36;37
11002241;5;28/08/2021;36;37
11002427;5;31/08/2021;34;35
11002453;5;31/08/2021;34;35
10000518;5;24/08/2021;40;44
11000593;5;21/08/2021;38;39
11000610;5;21/08/2021;38;39
11000680;5;21/08/2021;40;44
11000697;5;21/08/2021;40;44
10000256;5;16/08/2021;38;39
10000322;5;23/08/2021;40;44
10000343;5;23/08/2021;40;44
10000409;5;23/08/2021;38;39
10000430;5;23/08/2021;38;39
10000497;5;24/08/2021;40;44
4690;5;2/08/2021;40;44
10000061;5;6/08/2021;38;39
10000082;5;6/08/2021;38;39
10000148;5;16/08/2021;40;44
10000169;5;16/08/2021;40;44
10000235;5;16/08/2021;38;39
4179;5;17/07/2021;45;46
4240;5;19/07/2021;45;46
4267;5;19/07/2021;45;46
4322;5;24/07/2021;40;44
4340;5;24/07/2021;40;44
4666;5;2/08/2021;40;44
3672;5;3/07/2021;52;53
3980;5;10/07/2021;47;49
3999;5;10/07/2021;47;49
4059;5;12/07/2021;47;49
4085;5;12/07/2021;47;49
4159;5;17/07/2021;45;46
3643;5;5/07/2021;50;51
3667;5;2/07/2021;54;55
3668;5;5/07/2021;50;51
3669;5;3/07/2021;52;53
3670;5;2/07/2021;54;55
3671;5;5/07/2021;50;51
3386;5;28/06/2021;56;57
3449;5;30/06/2021;54;55
3474;5;30/06/2021;54;55
3534;5;3/07/2021;52;53
3559;5;3/07/2021;52;53
3619;5;5/07/2021;50;51
2631;5;8/06/2021;60;62
3000;5;19/06/2021;1;120
3018;5;19/06/2021;1;120
3076;5;25/06/2021;58;59
3100;5;25/06/2021;58;59
3362;5;28/06/2021;56;57
1142;5;11/05/2021;18;100
1641;5;21/05/2021;65;69
1662;5;21/05/2021;65;69
2317;5;31/05/2021;63;64
2338;5;31/05/2021;63;64
2602;5;8/06/2021;60;62
38;6;23/04/2021;80;120
39;6;23/04/2021;80;120
1117;6;11/05/2021;18;100
2582;6;8/06/2021;60;62
3056;6;25/06/2021;58;59
11003856;6;18/10/2021;18;20
